id,clause,"etiquettes (parmi A,I,C,N,OTHER — multi autorisé, ex. ""I,C"")",commentaire
F3-001,"Chop the carrots, potatoes, parsnips and/or swede into a uniform size.",,
F3-002,The government also issues birth certificates,,
F3-003,Being elder doesn't imply being 67 year old.,,
F3-004,97 percent from the 2010-2011 academic year -- the first Rutgers budget done after Christie became governor -- to the current 2013-2014.,,
F3-005,A man is standing with two kids is rephrased as a man and two kids standing.,,
F3-006,3 ½ cups finely chopped button mushrooms,,
F3-007,1 teaspoon dried tarragon,,
F3-008,Just because the woman is looking at a river and boats we can't assume she is camping.,,
F3-009,Oil or grease of choice for frying. (Modern Argentines use refined tallow or sunflower seed oil,,
F3-010,The woman either runs or walks.,,
F3-011,Man is a guy,,
F3-012,People are on the street. People tend to walk when they are on the street. The second sentence is a simplification of the first.,,
F3-013,3 cups all-purpose flour,,
F3-014,He attacks McCain for voting against the 2005 energy bill,,
F3-015,"Three women is not the same as three young men, also",,
F3-016,Let it rest for about 30 minutes somewhere lukewarm,,
F3-017,Playing with swings is an activity one associates with children less than twenty years old.,,
F3-018,"Heat up a heavy, deep-sided pan on high heat with a little olive oil.",,
F3-019,3.5 spoon olive oil,,
F3-020,"""The mayor will propose his 2015 budget in September.",,
F3-021,Hearty White Bread,,
F3-022,"If people are looking, people are looking.",,
F3-023,Add the pork steaks to the marinade and leave in room temperature for 30 minutes or a bit longer.,,
F3-024,"If the bottom of the pan is dry, add chicken broth and reduce heat.",,
F3-025,and tomatoes and chicken are different foods.,,
F3-026,"If the child weights 2000 lbs., the child would not be atop his shoulders.",,
F3-027,shoe off means wearing only one shoe,,
F3-028,"We have no idea if this is his 3rd wife in ten years or not, it could be his first or any number of wives.",,
F3-029,People can order and pick up food when they are not hungry.,,
F3-030,Mustard (Optional),,
F3-031,"65 miles per hour in his races, with 23.",,
F3-032,Yet in the heat of a political campaign they have been accused of financing radicalism.,,
F3-033,Serve over steamed rice,,
F3-034,Those savings are then applied to costs created by the law -- especially coverage for the uninsured -- so that the overall law doesn't add to the deficit.,,
F3-035,Being by a chain link fence implies being outside.,,
F3-036,but he made no reference to using it in response to protests.,,
F3-037,"Quite the opposite: The president and former general was calling for disciplined troops to fight on behalf of the government.""",,
F3-038,If nobody has shorts then it cannot be the person in the black shorts.,,
F3-039,because he is being chased by two girls,,
F3-040,A crowded street is a busy street.,,
F3-041,Villagers are people.,,
F3-042,The gymnast could have been older instead of younger. She should also just have been training instead of performing.,,
F3-043,The woman cannot simultaneously be posing in a meadow and a forest.,,
F3-044,"**4 lemons**, quartered.",,
F3-045,3 ft is different than 10 ft,,
F3-046,Cover and chill at least 2 hours.,,
F3-047,but those donations came before the elder Hurt invested in uranium.,,
F3-048,You can not infer he is watching the stars.,,
F3-049,"Finally, despite her implication that the increases stopped after No Child Left Behind, scores actually rose for all age groups in 2008 and for nearly all in 2012, the next two testing periods.""",,
F3-050,"It does not say the age of the girls, they could be older than 5 years old.",,
F3-051,People are humans.  Walking along is a synonym for ambling down.,,
F3-052,"""Trump said Clinton called the Trans-Pacific Partnership the """"gold standard"""" of trade deals.",,
F3-053,Some old and gray-hair men are not 100 years old.,,
F3-054,Add a good amount of virgin olive oil and place one of the small onion pieces into the pan.,,
F3-055,1 1/2 cup Chicken Broth,,
F3-056,Shredded cheese of choice (Optional),,
F3-057,"Nor does Biden, unless you interpret comments he made off the cuff on a rope line overly broadly",,
F3-058,and lumps do not form.,,
F3-059,About 20 minutes before it is to be done take the chopped greens and put them in the soup.,,
F3-060,Our conclusion:     Lewis co-wrote that black students make up 18 percent of the students in Americas public schools but 40 percent of students who are suspended or expelled.,,
F3-061,"Forbes wrote that the nations fleet of attack submarines is scheduled, in less than a decade, to fall below the 48 boats the Navy says it needs to carry out current missions.",,
F3-062,3/4 tsp White Pepper,,
F3-063,"To score a game in soccer, the player kicks the ball toward the goal.",,
F3-064,Roughly chop parsley.,,
F3-065,"""Scarborough was trying to recall the details of a news story about Clinton Foundation donations from foreign governments when he brought up Algerias donation to the foundation to try getting off the """"terror list.",,
F3-066,"""""Thats more than simply """"forwarding"""" news.""",,
F3-067,The black dress shirt and black and grey tie show the drummer is darkly dressed.,,
F3-068,"workers spend about 1,790 hours per year on the clock",,
F3-069,The states experience  and a report from state auditors  say that may be more challenging than he suggests.,,
F3-070,"1 Bell Pepper, seeded and sliced",,
F3-071,1. an older mam 2. 10 years old,,
F3-072,Just because they are boxing doesn't mean one man pounds another. Maybe the other is avoiding the punches.,,
F3-073,5 million firearms deaths have occurred since then.,,
F3-074,Answer: the performers are people singing together on a stage. It's obvious that they are people.,,
F3-075,Cover the peppers with aluminum and cook in the oven for 1h30min.,,
F3-076,Salt the beef mix and mix it thoroughly.,,
F3-077,North Korea may have the missile technology -- and range -- to strike the United States,,
F3-078,And state and local governments had the longstanding role of paying support to people who were disabled or indigent.,,
F3-079,Not all jumps are 20 ft.,,
F3-080,The study hypothesizes that one reason for the different diagnosis rate may be,,
F3-081,"Not all cannon's are used in siege and warfare, some are used in recreations and even some music.",,
F3-082,"1 celery stalk, minced",,
F3-083,adobo seasoning,,
F3-084,"Thumb of ginger, sliced",,
F3-085,1/2 Tbsp Ground Turmeric,,
F3-086,Let bread cool completely before slicing.,,
F3-087,and then present them out of context to dismiss Holdren's long and distinguished career.,,
F3-088,"""""Middle-class Americans """"pay a higher tax rate than millionaires and billionaires.""",,
F3-089,and the state has an out from the local EZ-Pass freeze.,,
F3-090,"Of late, congressional efforts to extend unemployment insurance benefits have failed  including McConnell's proposal to finance an extension by paying for it with stimulus funding.",,
F3-091,That improvement doesnt mean the states economy is set to turn around anytime soon,,
F3-092,"""The GOP offers no proof that the price paid by the Obamas was anything other than a matter of negotiation, or that the Obamas would have had to pay $300,000 more if not for the Rezkos' purchase.",,
F3-093,2 cups Very Hot Water (or as directed),,
F3-094,"But the 2007 bill pushed food and feed prices higher, he said",,
F3-095,"Human outside, refers to the golfer.",,
F3-096,Thats about 10 times what the current debt is per taxpayer.,,
F3-097,Runners run on a track weather competing or not.,,
F3-098,"Squeeze over a lemon wedge, as desired.",,
F3-099,2 1/2 teaspoons salt,,
F3-100,"""So consider that a bonus fact check.",,
F3-101,Our conclusion: Georgias workforce is facing a skills gap that the University System of Georgia and Technical College System of Georgia are working together to address by pushing for more graduates.,,
F3-102,1 tbsp Dijon mustard,,
F3-103,The girl walking outside in the snow is wearing brown jacket.,,
F3-104,Place the loaves on a lightly greased baking sheet and let it rise covered for 1 hour in a warm place until doubled in size.,,
F3-105,basil (optional),,
F3-106,Two and three are different numbers of humans.  One does not drive,,
F3-107,Mix the cream with the tomato paste and bring to a boil.,,
F3-108,You can not infer she comments on the mans looks.,,
F3-109,"Dewhurst's campaign was emphatic, though, that ballistics tests confirmed that the weapons killed the agent.",,
F3-110,flatten each into a 6-inch round.,,
F3-111,salsiccia (optional),,
F3-112,6 Medium Mushrooms (Cut smallish and small stalk),,
F3-113,Florsheim told us most of their products are made in China,,
F3-114,A camera is not necessarily a video camera.,,
F3-115,¾ cup Coconut Flour,,
F3-116,A few dashes each - Nutmeg Cayenne Paprika,,
F3-117,"We have no idea if the group of adults are coaches or not, they could just be parents, we have no idea if they are giving the team last minute directions or just talking to them.",,
F3-118,"However, looking at Texas population growth in terms of people moving here """"with their feet"""" versus people born here, Dewhurst pegged the ratio correctly -- about half-and-half.""",,
F3-119,But Scott is trying to isolate the problem to trains when citing Tri-Rail's revenue problems as a reason for nixing high-speed rail in Central Florida.,,
F3-120,McCall said he doesnt know if Straus knew about the  pro-Homer ad.,,
F3-121,Young boy deosn't necessarily mean he needs to be 10 years old.,,
F3-122,This includes between $1 million and $5 million from the United Arab Emirates and between $10 million and $25 million from Saudi Arabia.,,
F3-123,but did not designate any specific buyer.,,
F3-124,Powdered sugar (optional),,
F3-125,Elections officials and nonpartisan observers in California said there were no widespread reports of voter fraud.,,
F3-126,people are walking on a path outdoors,,
F3-127,"The group emphasizes that Nelson is leasing the land, though the Times story is clear he does not charge for the Melbourne farmer to graze cows there.",,
F3-128,You can not infer it's for Halloween.,,
F3-129,The small boy might not be 6 years old.,,
F3-130,"And he obscured the fact that much of the enormous increases he cited stemmed from temporary factors, whether its the stimulus or spending on the decennial Census.",,
F3-131,The fact that the bucket is being used outside does not imply it is near the window.,,
F3-132,She would need the poker chips to play poker and couldn't be putting them in a bag,,
F3-133,"said, """"1 percent of Americans are millionaires.",,
F3-134,The sled is blue contradicts the red sled.,,
F3-135,"Even if you dont count the earlier Iraqi attacks that fell outside of Yohos stated time line, its possible to get to 20 attacks by counting the pre-Aug.",,
F3-136,"Add mushrooms and cook until all water evaporates and mushrooms are slightly browned, about 7 minutes.",,
F3-137,Transfer to a plate and heat the same pan over medium-high.,,
F3-138,A GOP state representative does represent two of the challengers,,
F3-139,Girls would not wear winter clothing if ti was 100 degrees,,
F3-140,"1/2 tsp Fresh Garlic, chopped",,
F3-141,"Law that passed was more narrowly focused, harsher.",,
F3-142,If a man has a cigarette doesn't mean he is old or he is smoking a cigar,,
F3-143,"Add the rice and cook for 2 minutes, stirring constantly.",,
F3-144,No court has gone close to that far.,,
F3-145,The Asian woman is measuring food from barrels and not wine from one barrel.,,
F3-146,Remove into a colander.,,
F3-147,1 Tbsp Corn starch,,
F3-148,Add chickpeas and seasonings.,,
F3-149,**Mexican tortillas**,,
F3-150,Young can't be forty years old.,,
F3-151,Dilapidated means old.,,
F3-152,It is the 2012 Olympic.,,
F3-153,and a scientist is using a microscope by looking in it.,,
F3-154,"Once meat has browned, pour in red wine and reduce by half.",,
F3-155,"Form balls and flatten them to a thickness of about 1 inch (2,5cm).",,
F3-156,A male teen doing homework does not necessarily have to be a 16 year old.,,
F3-157,"Clayton did meet the 100 percent threshold for this school year, as the press release said.",,
F3-158,2 eggs,,
F3-159,The woman is dripping wet with water,,
F3-160,A group of girls cannot possibly have two men in it.,,
F3-161,"Still, Central Healths per-person tax levy is projected to outpace those of two other districts should Travis County voters approve the bump.",,
F3-162,while about to hit a panda.,,
F3-163,Add more tomato sauce if the mixture is dry.,,
F3-164,"""Under the age of 18 years old"" implies a little girl.",,
F3-165,A man and a woman form a couple. They are waiting for the train.,,
F3-166,Put the top on your pressure cooker and allow the meat to cook for around 30 minutes on low heat,,
F3-167,But theres a convincing argument that Uber at the very least bent the rules,,
F3-168,"Knead it energically, until the dough forms bubbles on its surface.",,
F3-169,When a man walks with a bicycle does not imply that he broke his bike and a bicycle need not necessarily be a new bike.,,
F3-170,A woman is a lady.,,
F3-171,The cost of those naming rights wasnt disclosed.,,
F3-172,All young girls are not five years old.,,
F3-173,"so no instruction on wash the bus, or one relaxes and enjoys duplicity.",,
F3-174,It will simmer but quickly whisk until it comes still.,,
F3-175,The two men are in front of audio equipment.,,
F3-176,A group of people standing in the snow doesn't mean they are standing in three feet of snow.,,
F3-177,criminal conviction or immigration violation.,,
F3-178,"In a TV ad, Koster said Greitens charity The Mission Continues spent $600,000 on image consultants.",,
F3-179,"""A Senate Majority PAC radio ad said, """"Tillis even led the effort to pass the type of stand your ground laws that caused the shooting death of Trayvon Martin.",,
F3-180,1dl flour,,
F3-181,"14 ounces Smoked Salmon, chopped",,
F3-182,boy of 10 years is no more a kid.,,
F3-183,and 27th of the 32 state schools on the list.,,
F3-184,"Mayors Against Illegal Guns goes a step further in saying Wolf """"voted to allow terror suspects to buy guns.",,
F3-185,~80g mozzarella cheese,,
F3-186,Stir well and cook for another 15 minutes.,,
F3-187,"Add some salt, black pepper and garlic powder to taste and continue mashing",,
F3-188,and does not have to be showing a troubled expression.,,
F3-189,Men on bikes does not imply bike rental as low as 9.99 an hour.,,
F3-190,"According to a federal report, only Rhode Island and four other states fall into that category.",,
F3-191,"First, his statistics dont parse out the base rate from the rest of anelectric bill",,
F3-192,Milk (Optional),,
F3-193,On a gym floor implies in the gym.,,
F3-194,The law does create a 15-member board to prevent Medicare spending from exceeding certain growth targets,,
F3-195,"In fact, they align with Texas own state standards.""",,
F3-196,The data has been consistent in the five years studied,,
F3-197,"Either way, Fiorina's point is generally backed up by the numbers.",,
F3-198,70cl water,,
F3-199,A couple falls asleep on a bench outside.,,
F3-200,A boy and girl are not assumed to be five years old.,,
F3-201,1 1/2 cups / 300 grams peas (dried green split),,
F3-202,1 package active dry yeast,,
F3-203,He also called Iran the worlds largest supporter of terrorism.,,
F3-204,Oregano leaves,,
F3-205,while another dog is playing in the yard doesn't imply that the dogs belong to her.,,
F3-206,while having furry skin.,,
F3-207,"A 1998 study of budget surpluses and deficits conducted for the House Joint Economic Committee found that federal surpluses outnumbered deficits 108 to 100, """"with surpluses dominating in a large majority of the years prior to 1930.",,
F3-208,"""The memo also created a new policy",,
F3-209,The two people have their arms around each other,,
F3-210,The saxophone is gold.,,
F3-211,Suspenders are typically not part of a formal suit.,,
F3-212,"Optional herbs and spices: Fennel seeds, cinammon, cloves. Don't put too many though.",,
F3-213,4       Push the administration of the FCAT as late in the school year as possible.,,
F3-214,"Such audits are due at the end of the year, nearly two months after the votes are counted, a timetable noted in the very document the Doherty campaign cites.",,
F3-215,"""""On a proposal that would have removed a tax increase on Social Security benefits from the 1994 federal budget, Feingold voted no and indicated he was satisfied the increase applied only to higher-income senior citizens.",,
F3-216,A 50% sign would most likely indicate a sale and not an award.,,
F3-217,not all people kissing are on a date,,
F3-218,"In 1975, Askew and the Cabinet changed the rules to allow for """"automatic restoration"""" of rights for voting.",,
F3-219,"Cut it down the middle and remove the meat from the shell, set the meat aside for later.",,
F3-220,Knelling is another form of squatting.,,
F3-221,Salmon Steaks,,
F3-222,"which is above an average of developed countries at 1,715 hours.",,
F3-223,"""Dewhurst said that """"our school systems lose every year, some 45 days on testing.",,
F3-224,"but his numbers and trajectory are off.""",,
F3-225,"But I'm not going to mandate that every American own their own home,"""" McCain said.",,
F3-226,"Hes said """"you have to give them a path"""" but rejected """"amnesty"""" and then said legal status could be granted to those who leave the country first and apply for reentry.""",,
F3-227,Push squash one side of the pan.,,
F3-228,An old man must be more than fifteen years old.,,
F3-229,"Put basil, thyme, bay leaf, salt",,
F3-230,About a quarter of the total turns into scholarships for student-athletes.,,
F3-231,"""Biden may have been reaching for a different statistic  that GMs sales led other automakers in 2011, subject to a few caveats.",,
F3-232,"""""""We have never gone a year in Virginia -- ever -- without passing a budget -- ever,"""" Cuccinelli said.",,
F3-233,But he has repeatedly insisted that Rhode Island's program is THE most expensive.,,
F3-234,When th e teacher is present in the classroom full of men it need not necessarily mean that the men are learning English.,,
F3-235,"""""""Sometimes,"""" she said, """"dates are just made up.",,
F3-236,For the stand mixer method just throw all the ingredients into the mixer with a dough hook and set it to level 4 for about 3-5 minutes and it will be done,,
F3-237,We found that experts placed the state's ability to create jobs for the short term between limited and marginal.,,
F3-238,"Stir in cayenne, cumin",,
F3-239,The men can't be working on a procedure,,
F3-240,Not all groups of people who may ride a roller coaster are local 4-H club members,,
F3-241,Sriracha or crushed red pepper are great.,,
F3-242,"That number did not come from the Congressional Budget Office, the one government body that members of both parties count on for impartial long-term projections.",,
F3-243,400gm Basmati Rice,,
F3-244,according to the directions on the package or however you usually do it.,,
F3-245,you typically wouldn't be juggling,,
F3-246,Sriacha in squirt bottle,,
F3-247,2 1/2 dl cream,,
F3-248,"But we found a secondary definition that said people born to a Muslim father and identify as cultural Muslims could be considered Islamic, even if they don't have Islamic beliefs, though that was considered controversial.",,
F3-249,1 egg,,
F3-250,Workers that stand in front of a red truck are standing in front of a vehicle.,,
F3-251,"The Supreme Court doesn't """"recommend"""" that Congress necessarily do anything -- it's just not the court's style.",,
F3-252,No way to know that the player never missed a catch.,,
F3-253,but that didnt happen until the end of June.,,
F3-254,it said they would consider quitting,,
F3-255,Legislated changes affecting drug offenders surely contributed.,,
F3-256,"Add the tofu, lower the gas",,
F3-257,"In a Cast Iron Durch Oven, melt the butter over medium heat, add the Andouille and cook until it starts to brown.",,
F3-258,which has called for worldwide elimination by 2030.,,
F3-259,"""Fahrenkopf said that """"the majority of people"""" traveling to destination resorts are not going primarily to gamble.",,
F3-260,The men can't be sitting,,
F3-261,A man cannot be both young and old. One cannot jump out of and into a pool simultaneously.,,
F3-262,"½ tsp or less of Xanthan Gum (optional, to have a more stick bread)",,
F3-263,3 bay leaves,,
F3-264,People can't be working while swimming.,,
F3-265,"Still, give or take, most of the numbers that the experts threw at us come relatively close to, or even exceed, the $1 trillion mark.""",,
F3-266,Salt and pepper.,,
F3-267,Just because men are listening to music does not mean they listen to Nine Inch Nails through headphones.,,
F3-268,that she is standing absolutely indicates standing.,,
F3-269,2 ripe bananas (250 g/9 oz peeled),,
F3-270,"""When asked about Obamas approval rating, Pfeiffer said, """"Weve gained 3 points in the last couple months.",,
F3-271,"""Clinton said she will """"work to raise the federal minimum wage back to the highest level its ever been$12 an hour in todays dollars.",,
F3-272,"""Ryan said Obama """"already passed all these Obamacare taxes.",,
F3-273,"People making $200,000 or less a year would see their taxes rise by an average of about $2,000.",,
F3-274,so much that they play at the London 2012 Olympics.,,
F3-275,Taste the brew after 10-14 days,,
F3-276,Heat a good amount of oil on a pan to fry the chicken in.,,
F3-277,"Make smaller or bigger pancakes, up to you.",,
F3-278,Place face down on greased baking sheet.,,
F3-279,Add garlic and cook for another 30 seconds.,,
F3-280,It is possible to support the Second Amendment and favor some regulation on guns.,,
F3-281,but require more eggs),,
F3-282,"If a man has his back to theater sign, he cannot be at home watching TV at the same time.",,
F3-283,"""""There was no prohibition in the 1913 Act.",,
F3-284,Slice roast into ½ inch thick slices and top with lemon herb vinaigrette.,,
F3-285,"which works out to $45,433 for every American.",,
F3-286,A running dog does not imply it is running to chase a ball.,,
F3-287,We don't know for sure why they are standing near and on this square.  It is not 100% inferrable that they are waiting. (that they wait).,,
F3-288,"If adding noodles, add in pasta and allow pasta to cook until al dente.",,
F3-289,You can not be standing on a cliff while underwater.,,
F3-290,Add to this sauce the sauce that was formed in the dish of the steaks.,,
F3-291,That would be 20 percent of gross sales.,,
F3-292,"while industries around Detroit in Wayne County nearly matched that dubious achievement, reporting the disposal or release of nearly 30 million pounds of toxic pollutants.",,
F3-293,"""""About 55 percent of Newark freshmen graduate in four years, not 23 percent.""",,
F3-294,Add eggs and sugar into a bowl and whisk until the mixture turns pale.,,
F3-295,Lying on a bed is a way of resting.,,
F3-296,Foreigners or People of another country grouped at a market,,
F3-297,Sweeten to taste.,,
F3-298,A old gray-haired man cannot be 10 years old.,,
F3-299,2 medium Green Bell Peppers,,
F3-300,2 shallots,,
